,filename,dominant_color_rgb,dominant_color_name,exact_color_name
61,7cf0b0ee13952d27083fd1d9534e2e50cca65c1e.jpg,"(230, 248, 248)",blue,lightcyan
62,c69aa7eca0211190e6512a1df5999af85e30b4d5.jpg,"(137, 136, 122)",gray,grey
63,3419e9ad678a91dd3e4a71340ba6a3f8032526ad.jpg,"(226, 220, 221)",gray,gainsboro
64,5ae33748efb592ffeb46ef97ac36384ca6f05847.jpg,"(7, 13, 13)",black,black
65,7df7f7b32228f11da96c33ed834d06be9648cb72.jpg,"(196, 189, 181)",gray,silver
66,72354b453e2c57a2f691d2c11d88f9d6595dae56.jpg,"(25, 36, 44)",green,darkslategrey
67,1e3c89fc0d2ac9c69166d91677343312924e8cb0.jpg,"(241, 225, 35)",yellow,gold
68,c4a661491f6a61c6a19cd314a7e04ed546959173.jpg,"(15, 12, 21)",black,black
69,48acff1585e27648cdac21150fc43823623d2911.jpg,"(41, 68, 68)",green,darkslategrey
70,6865b0f60ef56dbd8009a7cbaf960226bc2b5d66.jpg,"(19, 10, 10)",black,black
71,bdde143d2635456e70a96910be5d52e0888cdae8.jpg,"(202, 195, 145)",brown,tan
72,1754fe0b3228a3966370803cc2567d15efb5ff07.jpg,"(177, 121, 91)",red,indianred
73,2d0c1ac3132ba4a3b1782d20344ed09627e1e284.jpg,"(43, 28, 20)",black,black
74,a60e7f308b1a0f86245a63c0f0b1d7ebc2f93043.jpg,"(78, 104, 128)",gray,dimgrey
75,6b651a87c4c17effb3685e9dc3b064c13bdecc5a.jpg,"(191, 168, 169)",gray,darkgrey
76,4e58f234d1f24484e1fa7776af2f37e0de8efb27.jpg,"(190, 127, 97)",brown,peru
77,c4087bc453b11a6eb61ee37d348f0d3bfd8bdceb.jpg,"(235, 197, 59)",brown,goldenrod
78,2f9b53409e43c1fe205458707cd707cb3dc970af.jpg,"(237, 247, 247)",white,whitesmoke
79,4aa9817d23ad2d7db92905d8adae62153dd1441f.jpg,"(30, 11, 10)",black,black
80,5a58ca929bfc77dfd6f7f6774214f9cafd94d702.jpg,"(247, 242, 228)",white,linen
81,5a8fbe5567dd475c4deaa6d52a8af11a18aee5cc.jpg,"(188, 133, 79)",brown,peru
82,c257ab9db62ef65250a6bd885df9106469191680.jpg,"(123, 99, 75)",gray,dimgrey
83,3b969e8da794dab80f9767811b22350020e397e6.jpg,"(13, 10, 10)",black,black
84,ce17f943e9c620e7cb0be5d491eec75a7bf6bd2b.jpg,"(113, 97, 94)",gray,dimgrey
85,645685f278c03579289cf9f74a2c18dd34a3a582.jpg,"(79, 60, 48)",green,darkolivegreen
86,1ca8ef002b633028cd9fef864b89c7c93e21ef73.jpg,"(55, 41, 31)",green,darkslategrey
87,c5340bbae3b226796f000d819d71a0318650de19.jpg,"(44, 26, 12)",black,black
88,4293c42a845af58d724bd75998ca332ca7a8a3d7.jpg,"(75, 78, 77)",green,darkslategrey
89,aca8ad70196b1a6ff2cbb0c3f1425f21a4a93d3f.jpg,"(160, 203, 56)",green,yellowgreen
90,7dbbe2673604dc2b4e885674d9641ccbbec6ccf6.jpg,"(46, 29, 30)",black,black
91,c9d1521ebc4678b06423428e655634d986000c49.jpg,"(246, 242, 234)",white,linen
92,1c36341e9fe559dfa1cb6c3af2f353a934bc17b1.jpg,"(212, 220, 212)",gray,lightgrey
93,469e7c219b23ea5e6c2102bd6ad05141b7e97708.jpg,"(20, 31, 50)",black,black
94,4a7b34202ac777cb20a23411c99caa9d773fd683.jpg,"(211, 196, 175)",gray,silver
95,0045166cc298e636659fc4c5bb689769db0a5c9c.jpg,"(136, 88, 55)",brown,sienna
96,9b2360563eeb3b763e47acbe77e358de7f3282f7.jpg,"(185, 152, 118)",brown,rosybrown
97,6dc3fa2aa7c0e6f2071f54965ec7ea874e8e736f.jpg,"(41, 18, 19)",black,black
98,f8d29b92cf963ab4807e2b52b44b5417d792e66c.jpg,"(18, 12, 10)",black,black
99,dae8baa188bd68946d586b045f46dcbdfed33feb.jpg,"(16, 17, 18)",black,black
100,f7e65268f1422d386439b7f6ba214b39a34f59ed.jpg,"(196, 166, 158)",brown,tan
101,60836361daaad59e6f2463a4584862084c4af650.jpg,"(13, 15, 16)",black,black
102,f308fbac5b16e11f7e8a9388aa377c680a27ad05.jpg,"(221, 210, 198)",gray,lightgrey
103,662964007864b84b33d5360135484beb516fb763.jpg,"(22, 13, 12)",black,black
104,1f480f5075f07d9389cb4ea75a5fd5fe57403516.jpg,"(240, 238, 233)",white,linen
105,dced22e6f54a5bda32787b4b90da5105fd92c03f.jpg,"(160, 80, 84)",brown,sienna
106,3eee7f5056fea9501cd9194e0b6a92e6be5ae0ce.jpg,"(222, 156, 120)",red,darksalmon
107,002a0ec1a7411c3a31d7dd67c8a113f94d96875a.jpg,"(230, 206, 151)",yellow,khaki
108,78b6af14439bbd6bc9bfcc85b086a05b2556b617.jpg,"(236, 232, 226)",white,linen
109,6034d3a37d443efc259ec36df998e4ead71bf6ee.jpg,"(41, 37, 35)",green,darkslategrey
110,e35403726323f464556779153508b24856f4ec52.jpg,"(39, 39, 42)",green,darkslategrey
111,2ac84297b40d0cd81d22763950a5056db3c3d051.jpg,"(205, 176, 147)",brown,tan
112,f49c2a36690bb10f0924d0adde81cb29f6d09213.jpg,"(56, 37, 31)",green,darkslategrey
113,0e0df3168cfcaf180d6f6e245ce3136589487658.jpg,"(208, 198, 193)",gray,silver
114,e608d8fc67f09a726f3cecfdb222da66bfa70b30.jpg,"(218, 219, 228)",gray,gainsboro
115,857ba33ddfc5b058b4a284749b6dfda403267693.jpg,"(31, 29, 37)",black,black
